descricao,valor,categoria
Internet Oi Fibra,374.49,Moradia
Supermercado Pao de Acucar,65.15,Alimentacao
Posto Shell,18.61,Transporte
Streaming Netflix,14.57,Lazer
Condominio Residencial Sol,389.72,Moradia
Mercado Atacadao,35.58,Alimentacao
Abastecimento Veiculo,31.41,Transporte
Manicure a Domicilio,8.73,Servicos
Plano Odontologico OdontoPrev,472.97,Saude
Supermercado Big Bompreco,32.91,Alimentacao
Lanchonete Central,54.65,Alimentacao
Laboratorio Exame Hermes Pardini,264.93,Saude
Remedio Farmacia,160.7,Saude
Chaveiro 24 Horas,22.51,Servicos
Barbearia Vintage,34.32,Servicos
Chaveiro 24 Horas,18.66,Servicos
Lavanderia Express,10.75,Servicos
Cinema Cinemark,28.06,Lazer
Laboratorio Exame Fleury,217.66,Saude
Buffet de Eventos Tematico,26.49,Lazer
Plano Odontologico OdontoPrev,142.85,Saude
Seguro Residencial Porto,509.88,Moradia
Curso Online Alura,63.25,Educacao
Auto Pecas Center,38.21,Transporte
Estacionamento Multipark,40.21,Transporte
Mercado Atacadao,42.75,Alimentacao
Hortifruti Verde Vida,57.42,Alimentacao
Farmacia Pague Menos,111.96,Saude
Internet Tim Live,218.16,Moradia
Lanchonete do Povo,17.72,Alimentacao
Aluguel Apartamento Centro,435.04,Moradia
Livraria Saraiva,103.41,Educacao
Streaming Spotify Premium,23.21,Lazer
Combustivel Gasolina,83.35,Transporte
Aluguel Casa Jardim,376.33,Moradia
Bar da Esquina,16.61,Lazer
Salao de Beleza Charme,52.54,Servicos
Lava Rapido Brilho,37.93,Transporte
Curso Online Udemy,154.75,Educacao
Plano Odontologico OdontoPrev,193.21,Saude
Mensalidade Faculdade Anhanguera,94.74,Educacao
Lavanderia Rapida,11.48,Servicos
Padaria Ponto do Pao,28.93,Alimentacao
Combustivel Etanol,48.56,Transporte
Restaurante Temperinho,55.81,Alimentacao
Laboratorio Exame Hermes Pardini,56.51,Saude
Cinema Cinemark,7.68,Lazer
Livraria Livraria Nobel,140.89,Educacao
Lava Rapido Total,20.86,Transporte
Academia Smart Fit,82.17,Saude
Salao de Beleza Estilo,22.88,Servicos
Mensalidade Escola Bilingue,146.48,Educacao
Oficina Mecanica Silva,67.52,Transporte
Aplicativo Uber,32.28,Transporte
Barbearia Moderna,13.69,Servicos
Rappi Delivery,49.66,Alimentacao
Estacionamento Zona Azul,25.36,Transporte
Parque Aquatico Wet Fun,72.86,Lazer
Seguro Residencial Bradesco,222.67,Moradia
Papelaria Nobre,229.61,Educacao
Onibus Intermunicipal,22.14,Transporte
Streaming Amazon Prime,12.91,Lazer
Restaurante Sabor Caseiro,57.06,Alimentacao
iFood Delivery,95.65,Alimentacao
Aluguel Apartamento Centro,240.0,Moradia
Internet Claro Fibra,324.18,Moradia
Aluguel Apartamento Centro,720.05,Moradia
Mensalidade Escola Objetivo,36.37,Educacao
Passeio Parque Aquatico,37.1,Lazer
Papelaria Kalunga,40.83,Educacao
Estacionamento Multipark,79.77,Transporte
Aluguel Residencial Imovel,402.5,Moradia
Reforma Casa e Cia,292.15,Moradia
Lanchonete do Povo,35.3,Alimentacao
Parque de Diversoes,45.05,Lazer
Mensalidade Escola Positivo,59.5,Educacao
Salao de Beleza Charme,10.84,Servicos
Servico de Fotografia,21.77,Servicos
Supermercado Assai,28.21,Alimentacao
Salao de Beleza Estilo,14.77,Servicos
Condominio Edificio Central,308.4,Moradia
Parque Aquatico Wet Fun,11.5,Lazer
Internet Vivo Fibra,318.96,Moradia
Streaming Deezer,84.14,Lazer
Livraria Livraria Nobel,80.11,Educacao
Academia Bio Ritmo,299.74,Saude
Assinatura Duolingo Plus,79.04,Educacao
Farmacia Popular,76.2,Saude
Internet Oi Fibra,428.51,Moradia
Fisioterapia ReviveMed,62.78,Saude
Agua e Esgoto Copasa,358.43,Moradia
Estacionamento Multipark,45.25,Transporte
Plano Odontologico OdontoPrev,100.65,Saude
Papelaria Kalunga,209.26,Educacao
Mensalidade Escola Objetivo,176.98,Educacao
Manicure a Domicilio,21.18,Servicos
Consulta Medica Particular,95.68,Saude
Supermercado Carrefour,30.07,Alimentacao
Pedagio Sem Parar,54.04,Transporte
Aluguel Residencial Imovel,286.88,Moradia
Posto Ale,74.3,Transporte
Salao de Beleza Vintage,9.86,Servicos
Servico de Fotografia,9.0,Servicos
Papelaria Kalunga,62.52,Educacao
Aluguel Apartamento Centro,468.49,Moradia
Farmacia Extrafarma,107.92,Saude
Agua e Esgoto Copasa,303.66,Moradia
Curso Preparatorio Vestibular,160.6,Educacao
Aplicativo InDrive,64.93,Transporte
Papelaria Kalunga,46.28,Educacao
Seguro Residencial Porto,329.56,Moradia
Posto BR Mania,26.09,Transporte
Academia Smart Fit,156.55,Saude
Streaming Disney Plus,22.41,Lazer
Parque Aquatico Wet Fun,23.36,Lazer
Supermercado Carrefour,33.19,Alimentacao
Manicure a Domicilio,17.75,Servicos
Pet Shop Amigo Fiel,7.33,Servicos
Lavanderia Express,37.94,Servicos
Streaming Netflix,11.82,Lazer
Parque Aquatico Wet Fun,10.59,Lazer
Acougue Central,91.59,Alimentacao
Feira Livre Central,63.29,Alimentacao
Mensalidade Faculdade Unip,112.58,Educacao
Curso Preparatorio Vestibular,64.6,Educacao
Moveis Tok e Stok,560.28,Moradia
Balada Clube Noturno,30.35,Lazer
Lavanderia Express,91.36,Servicos
Consulta Medica Particular,67.09,Saude
Agua e Esgoto Sabesp,248.92,Moradia
Feira Livre do Bairro,26.54,Alimentacao
Parque Aquatico Wet Fun,43.78,Lazer
Metro Bilhete Unico,68.26,Transporte
Material Escolar Didatico,130.32,Educacao
Internet Claro Fibra,333.98,Moradia
Livraria Saraiva,154.51,Educacao
Laboratorio Exame Hermes Pardini,160.48,Saude
Livraria Cultura Didatica,41.91,Educacao
Aluguel Casa Jardim,794.16,Moradia
Estacionamento Zona Azul,15.54,Transporte
Streaming HBO Max,17.26,Lazer
Padaria Sao Jose,82.16,Alimentacao
Plano Odontologico Amil Dental,100.96,Saude
Agua e Esgoto Copasa,255.27,Moradia
Curso de Ingles CNA,50.74,Educacao
Barbearia Moderna,15.06,Servicos
Auto Pecas Brasil,49.05,Transporte
Aluguel Apartamento Centro,94.75,Moradia
Lavanderia Rapida,44.83,Servicos
Streaming Spotify Premium,13.6,Lazer
Barbearia Vintage,43.64,Servicos
Cinema Ingresso Show,40.49,Lazer
Mensalidade Faculdade Estacio,222.21,Educacao
Restaurante Temperinho,26.72,Alimentacao
Assistencia Tecnica Eletronicos,58.41,Servicos
Farmacia Pague Menos,169.7,Saude
Lava Rapido Total,24.63,Transporte
Curso Tecnico Senai,189.44,Educacao
Curso Profissionalizante,44.92,Educacao
Papelaria Nobre,104.11,Educacao
Streaming Netflix,32.3,Lazer
Plano de Saude Amil,233.7,Saude
Conta de Luz,557.97,Moradia
Aluguel Apartamento Centro,566.83,Moradia
Farmacia Droga Raia,279.85,Saude
Fisioterapia ReviveMed,134.28,Saude
Barbearia Vintage,9.65,Servicos
Rappi Delivery,37.42,Alimentacao
Cinema Ingresso Show,23.23,Lazer
Plano Odontologico OdontoPrev,546.9,Saude
Farmacia Nissei,348.23,Saude
Internet Oi Fibra,202.51,Moradia
Streaming Disney Plus,48.07,Lazer
Agua e Esgoto Sabesp,167.03,Moradia
Farmacia Nissei,96.17,Saude
Restaurante Sabor Caseiro,72.06,Alimentacao
Auto Pecas Center,27.01,Transporte
Pedagio Sem Parar,33.13,Transporte
Auto Pecas Center,68.73,Transporte
Aplicativo Uber,25.95,Transporte
Curso Preparatorio Vestibular,85.51,Educacao
Conta de Agua,637.92,Moradia
Streaming HBO Max,29.04,Lazer
Passeio Parque Aquatico,16.66,Lazer
Cinema Ingresso Show,12.37,Lazer
Hospital Sao Marcos,203.4,Saude
Conta de Luz,213.47,Moradia
Mensalidade Escola Bilingue,67.72,Educacao
Curso Tecnico Senai,297.89,Educacao
Cinema Cinemark,56.56,Lazer
Assistencia Tecnica Eletronicos,19.09,Servicos
Passeio Parque Aquatico,6.51,Lazer
Seguro Residencial Bradesco,343.44,Moradia
Agua e Esgoto Sabesp,261.81,Moradia
Feira Livre Central,56.44,Alimentacao
Streaming Deezer,21.86,Lazer
Lava Rapido Total,69.39,Transporte
Padaria Bela Vista,20.27,Alimentacao
Plano de Saude SulAmerica,101.15,Saude
Farmacia Extrafarma,101.26,Saude
Barbearia Vintage,16.57,Servicos
Aluguel Residencial Imovel,292.56,Moradia
Lavanderia Express,21.3,Servicos
Curso Preparatorio Vestibular,183.2,Educacao
Parque de Diversoes,60.74,Lazer
Lanchonete Central,76.38,Alimentacao
Laboratorio Exame Fleury,80.78,Saude
Manicure a Domicilio,23.18,Servicos
Internet Claro Fibra,239.31,Moradia
Farmacia Nissei,105.42,Saude
Aluguel Apartamento Centro,202.22,Moradia
Plano de Saude Amil,280.05,Saude
Fisioterapia ReviveMed,218.36,Saude
Aluguel Casa Jardim,327.16,Moradia
Material de Construcao Casa Show,420.09,Moradia
Clinica Odontologica Sorriso,56.35,Saude
Conta de Agua,228.42,Moradia
Chaveiro 24 Horas,29.42,Servicos
Parque Aquatico Wet Fun,27.8,Lazer
Papelaria Kalunga,83.46,Educacao
Livraria Cultura Didatica,49.47,Educacao
Streaming Disney Plus,4.85,Lazer
Mensalidade Escola Bilingue,190.15,Educacao
Plano de Saude Unimed,359.72,Saude
Mensalidade Escola Objetivo,68.81,Educacao
Parque Aquatico Wet Fun,78.82,Lazer
Curso de Ingles Wizard,38.14,Educacao
Gas Ultragaz,361.55,Moradia
Plano de Saude SulAmerica,162.23,Saude
Consulta Medica Clinica Vida,74.15,Saude
Lava Rapido Brilho,70.23,Transporte
Mensalidade Escola Bilingue,143.53,Educacao
Salao de Beleza Estilo,11.75,Servicos
Streaming Amazon Prime,18.42,Lazer
Conta de Agua,283.32,Moradia
Clinica Odontologica Sorriso,76.84,Saude
Acougue do Ze,66.73,Alimentacao
Curso Tecnico Senai,37.89,Educacao
Plano de Saude Amil,195.64,Saude
Lava Rapido Brilho,59.47,Transporte
Streaming HBO Max,30.37,Lazer
Acougue do Ze,45.22,Alimentacao
Streaming HBO Max,28.93,Lazer
Mensalidade Escola Objetivo,29.35,Educacao
Passeio Parque Aquatico,9.17,Lazer
Mensalidade Escola Objetivo,283.11,Educacao
Curso de Ingles Wizard,59.3,Educacao
Costureira do Bairro,20.16,Servicos
Curso Online Udemy,70.42,Educacao
Energia CPFL,470.98,Moradia
Pet Shop Amigo Fiel,43.9,Servicos
Lava Rapido Total,28.17,Transporte
Assistencia Tecnica Eletronicos,21.44,Servicos
Streaming Amazon Prime,64.26,Lazer
Aluguel Residencial Imovel,509.29,Moradia
Curso de Ingles CNA,90.85,Educacao
Clinica Odontologica Bem Estar,54.65,Saude
Papelaria Nobre,125.97,Educacao
Remedio Farmacia,186.14,Saude
Livraria Saraiva,69.2,Educacao
Clinica Odontologica Sorriso,132.29,Saude
Hortifruti Sao Joao,50.23,Alimentacao
Feira Livre Central,32.8,Alimentacao
Aplicativo 99,64.71,Transporte
Aluguel Apartamento Centro,230.96,Moradia
Streaming Disney Plus,20.62,Lazer
Moveis Tok e Stok,507.37,Moradia
Mensalidade Faculdade Estacio,130.04,Educacao
Aplicativo 99,196.53,Transporte
Mercado Sao Luiz,59.93,Alimentacao
Material de Construcao Casa Show,255.97,Moradia
Streaming Deezer,17.01,Lazer
Farmacia Drogasil,143.61,Saude
Mercadinho da Vila,28.95,Alimentacao
Metro Bilhete Unico,66.37,Transporte
Pet Shop Amigo Fiel,53.23,Servicos
Assistencia Tecnica Eletronicos,59.25,Servicos
Farmacia Popular,197.13,Saude
Cinema Kinoplex,14.23,Lazer
Pedagio Sem Parar,41.34,Transporte
Material de Construcao Casa Show,268.96,Moradia
Feira Livre do Bairro,58.5,Alimentacao
Passeio Parque Aquatico,8.85,Lazer
Restaurante Prato Feito,52.32,Alimentacao
Bar do Amigo,21.89,Lazer
Plano de Saude Amil,120.92,Saude
Papelaria Nobre,114.36,Educacao
Auto Pecas Brasil,48.45,Transporte
Livraria Cultura Didatica,114.73,Educacao
Buffet de Eventos Tematico,8.88,Lazer
Academia Smart Fit,129.37,Saude
Energia Enel,363.78,Moradia
Supermercado Extra,102.72,Alimentacao
Remedio Farmacia,268.55,Saude
Pet Shop Amigo Fiel,11.79,Servicos
Padaria Doce Vida,27.59,Alimentacao
Curso Tecnico Senai,50.74,Educacao
Mercado Atacadao,52.21,Alimentacao
Cinema Kinoplex,30.26,Lazer
Assistencia Tecnica Eletronicos,59.31,Servicos
Protecao Veicular Allianz,34.67,Transporte
Restaurante Sabor Caseiro,73.34,Alimentacao
Metro Bilhete Unico,26.1,Transporte
Streaming Netflix,21.2,Lazer
Lavanderia Rapida,28.73,Servicos
Revisao Automotiva Center,41.38,Transporte
Farmacia Drogasil,61.19,Saude
Buffet de Eventos Tematico,13.55,Lazer
Internet Oi Fibra,355.98,Moradia
Protecao Veicular Porto Seguro,23.39,Transporte
Salao de Beleza Charme,8.6,Servicos
Costureira do Bairro,21.36,Servicos
Curso de Ingles CNA,50.04,Educacao
Imobiliaria Confianca,420.86,Moradia
Salao de Beleza Estilo,20.71,Servicos
Reforma Casa e Cia,362.04,Moradia
Padaria Ponto do Pao,29.32,Alimentacao
Streaming Deezer,26.02,Lazer
Mensalidade Escola Objetivo,64.98,Educacao
Imobiliaria Confianca,396.01,Moradia
Costureira do Bairro,17.14,Servicos
Cinema Kinoplex,23.63,Lazer
Clinica Odontologica Bem Estar,355.7,Saude
Gas Ultragaz,182.47,Moradia
Lavanderia Rapida,9.42,Servicos
Curso Online Coursera,47.76,Educacao
Lanchonete do Povo,79.02,Alimentacao
Mercado Atacadao,25.59,Alimentacao
Acougue Central,81.04,Alimentacao
Acougue Boi Bom,26.56,Alimentacao
Curso Tecnico Senai,88.7,Educacao
Lava Rapido Total,17.4,Transporte
Costureira do Bairro,26.53,Servicos
Reforma Casa e Cia,431.3,Moradia
Curso Online Udemy,47.01,Educacao
Gas Ultragaz,489.39,Moradia
Farmacia Pague Menos,369.2,Saude
Revisao Automotiva Center,96.62,Transporte
Costureira do Bairro,86.66,Servicos
Farmacia Popular,261.57,Saude
Mensalidade Faculdade Estacio,34.44,Educacao
Lanchonete Central,32.82,Alimentacao
Estacionamento Zona Azul,47.15,Transporte
Conta de Luz,234.15,Moradia
Protecao Veicular Allianz,23.18,Transporte
Plano de Saude Amil,346.59,Saude
Energia Cemig,337.65,Moradia
Hortifruti Sao Joao,83.37,Alimentacao
Curso Online Alura,43.22,Educacao
Internet Oi Fibra,251.18,Moradia
Posto Shell,26.09,Transporte
Bar do Amigo,17.16,Lazer
Curso Online Coursera,265.68,Educacao
Hortifruti Sao Joao,26.21,Alimentacao
Aplicativo 99,19.53,Transporte
Internet Claro Fibra,252.28,Moradia
Streaming Amazon Prime,37.07,Lazer
Farmacia Droga Raia,292.15,Saude
Farmacia Nissei,42.29,Saude
Balada Clube Noturno,11.08,Lazer
Mensalidade Faculdade Estacio,58.76,Educacao
Lava Rapido Brilho,46.16,Transporte
Pet Shop Bicho Feliz,49.92,Servicos
Curso de Ingles Fisk,131.57,Educacao
Barbearia Vintage,13.03,Servicos
Fisioterapia ReviveMed,80.91,Saude
Balada Clube Noturno,12.32,Lazer
Plano de Saude Unimed,294.97,Saude
Agua e Esgoto Copasa,470.84,Moradia
Psicologo Consulta Online,89.81,Saude
Bar da Esquina,33.5,Lazer
Farmacia Pague Menos,104.47,Saude
Supermercado Pao de Acucar,27.72,Alimentacao
Onibus Metropolitano,37.73,Transporte
Assistencia Tecnica Eletronicos,44.91,Servicos
Barbearia Classica,10.33,Servicos
Mensalidade Escola Objetivo,121.66,Educacao
Costureira do Bairro,72.94,Servicos
Curso de Ingles Fisk,65.25,Educacao
Pet Shop Bicho Feliz,20.18,Servicos
Plano de Saude Unimed,86.54,Saude
Livraria Livraria Nobel,205.3,Educacao
Conta de Agua,135.02,Moradia
Mercado Atacadao,76.98,Alimentacao
Pet Shop Amigo Fiel,19.38,Servicos
Livraria Livraria Nobel,80.1,Educacao
Streaming Deezer,31.5,Lazer
Streaming HBO Max,7.45,Lazer
Buffet de Eventos Tematico,16.87,Lazer
Hortifruti Sao Joao,48.67,Alimentacao
Laboratorio Exame Hermes Pardini,98.21,Saude
Mercado Sao Luiz,68.8,Alimentacao
Aplicativo InDrive,27.03,Transporte
Assinatura Duolingo Plus,220.09,Educacao
Costureira do Bairro,8.07,Servicos
Farmacia Droga Raia,299.23,Saude
Internet Tim Live,321.09,Moradia
Barbearia Classica,53.13,Servicos
Balada Clube Noturno,27.65,Lazer
Mensalidade Escola Objetivo,83.3,Educacao
Mensalidade Escola Bilingue,81.45,Educacao
Moveis Tok e Stok,289.1,Moradia
Oficina Mecanica Rapida,18.82,Transporte
Pet Shop Amigo Fiel,32.58,Servicos
Streaming HBO Max,41.78,Lazer
Papelaria Nobre,104.72,Educacao
Curso Online Udemy,115.69,Educacao
Salao de Beleza Charme,13.23,Servicos
Aplicativo Uber,68.66,Transporte
Parque de Diversoes,18.03,Lazer
Rappi Delivery,49.94,Alimentacao
Padaria Sao Jose,43.74,Alimentacao
Parque Aquatico Wet Fun,12.16,Lazer
Parque Aquatico Wet Fun,16.66,Lazer
Consulta Medica Clinica Vida,54.14,Saude
Assinatura Duolingo Plus,170.94,Educacao
Condominio Residencial Sol,172.38,Moradia
Reforma Casa e Cia,301.52,Moradia
Posto Shell,53.58,Transporte
Posto Shell,38.5,Transporte
Hortifruti Verde Vida,80.49,Alimentacao
Restaurante Prato Feito,80.39,Alimentacao
Farmacia Extrafarma,91.21,Saude
Hortifruti Verde Vida,67.85,Alimentacao
Pet Shop Bicho Feliz,16.34,Servicos
Barbearia Moderna,14.72,Servicos
Laboratorio Exame Hermes Pardini,46.03,Saude
Chaveiro 24 Horas,17.18,Servicos
Posto BR Mania,57.02,Transporte
Hospital Sao Marcos,222.59,Saude
Psicologo Consulta Online,153.34,Saude
Mensalidade Escola Positivo,115.4,Educacao
Mensalidade Faculdade Anhanguera,53.83,Educacao
Feira Livre do Bairro,126.38,Alimentacao
Farmacia Popular,259.19,Saude
Material Escolar Didatico,64.11,Educacao
Restaurante Prato Feito,37.88,Alimentacao
Cinema Kinoplex,18.1,Lazer
Laboratorio Exame Fleury,403.13,Saude
Curso Preparatorio Vestibular,160.11,Educacao
Fisioterapia ReviveMed,540.19,Saude
Bar do Amigo,9.38,Lazer
Mensalidade Faculdade Unip,231.68,Educacao
Livraria Saraiva,137.81,Educacao
Hospital Sao Marcos,150.22,Saude
Boliche Fun Center,53.34,Lazer
Abastecimento Veiculo,26.33,Transporte
Moveis Etna,368.46,Moradia
Mensalidade Faculdade Estacio,82.55,Educacao
Cinema Kinoplex,10.3,Lazer
Acougue Boi Bom,35.91,Alimentacao
Papelaria Kalunga,177.39,Educacao
Mercadinho da Vila,16.97,Alimentacao
Assistencia Tecnica Eletronicos,48.28,Servicos
Farmacia Extrafarma,229.23,Saude
Curso Profissionalizante,144.17,Educacao
Auto Pecas Brasil,86.5,Transporte
Combustivel Etanol,22.85,Transporte
Supermercado Pao de Acucar,47.96,Alimentacao
Papelaria Kalunga,157.06,Educacao
Balada Clube Noturno,28.66,Lazer
Combustivel Etanol,62.17,Transporte
Conserto de Eletronicos,27.81,Servicos
Agua e Esgoto Sabesp,576.74,Moradia
Hortifruti Sao Joao,96.95,Alimentacao
Conserto de Eletronicos,21.26,Servicos
Chaveiro 24 Horas,9.5,Servicos
Seguro Residencial Porto,148.7,Moradia
Cinema Cinemark,23.04,Lazer
Mensalidade Faculdade Anhanguera,190.42,Educacao
Mercadinho Bom Preco,60.16,Alimentacao
Salao de Beleza Charme,28.28,Servicos
Conta de Agua,135.24,Moradia
Clinica Odontologica Bem Estar,122.09,Saude
Cinema Ingresso Show,14.96,Lazer
Clinica Odontologica Bem Estar,94.06,Saude
Pedagio Sem Parar,43.85,Transporte
Salao de Beleza Vintage,11.54,Servicos
Metro Bilhete Unico,32.29,Transporte
Passeio Parque Aquatico,24.88,Lazer
Streaming Amazon Prime,19.79,Lazer
Mensalidade Faculdade Anhanguera,53.39,Educacao
Assistencia Tecnica Celular,8.63,Servicos
Combustivel Etanol,40.51,Transporte
Assistencia Tecnica Celular,160.24,Servicos
Parque Aquatico Wet Fun,18.56,Lazer
Fisioterapia ReviveMed,133.23,Saude
Livraria Cultura Didatica,253.9,Educacao
Estacionamento Zona Azul,54.97,Transporte
Assinatura Duolingo Plus,207.73,Educacao
Supermercado Extra,93.23,Alimentacao
Laboratorio Exame Fleury,687.62,Saude
Acougue do Ze,23.26,Alimentacao
Lava Rapido Total,48.33,Transporte
Posto Ale,26.07,Transporte
Hortifruti Sao Joao,102.75,Alimentacao
Hortifruti Sao Joao,56.98,Alimentacao
Cinema Cinemark,10.17,Lazer
Curso Online Alura,52.02,Educacao
Streaming HBO Max,71.04,Lazer
Chaveiro 24 Horas,35.05,Servicos
Streaming Deezer,7.3,Lazer
Mercado Sao Luiz,35.41,Alimentacao
Onibus Metropolitano,26.94,Transporte
Balada Clube Noturno,29.06,Lazer
Lava Rapido Brilho,27.1,Transporte
Bar da Esquina,10.62,Lazer
Protecao Veicular Allianz,119.63,Transporte
Lanchonete Central,65.22,Alimentacao
Padaria Ponto do Pao,27.1,Alimentacao
Combustivel Etanol,49.3,Transporte
Barbearia Moderna,24.35,Servicos
Clinica Odontologica Bem Estar,696.45,Saude
Energia CPFL,121.71,Moradia
Streaming Amazon Prime,9.07,Lazer
Energia Enel,485.12,Moradia
Curso Online Alura,68.4,Educacao
Farmacia Popular,71.14,Saude
Supermercado Assai,90.58,Alimentacao
Curso Profissionalizante,20.4,Educacao
Salao de Beleza Vintage,12.15,Servicos
Academia Bio Ritmo,172.19,Saude
Streaming Disney Plus,69.59,Lazer
Cinema Kinoplex,12.82,Lazer
Conta de Agua,285.03,Moradia
Livraria Cultura Didatica,121.27,Educacao
Buffet de Eventos Tematico,13.31,Lazer
Consulta Medica Particular,52.78,Saude
Lavanderia Express,41.24,Servicos
Restaurante Temperinho,31.57,Alimentacao
Barbearia Vintage,15.75,Servicos
Mensalidade Faculdade Anhanguera,82.51,Educacao
Metro Bilhete Unico,32.57,Transporte
Hortifruti Verde Vida,37.13,Alimentacao
Feira Livre Central,28.37,Alimentacao
Salao de Beleza Estilo,14.36,Servicos
Assistencia Tecnica Eletronicos,11.9,Servicos
Streaming Deezer,91.44,Lazer
Mensalidade Escola Objetivo,112.55,Educacao
Bar do Amigo,57.57,Lazer
Streaming Amazon Prime,28.65,Lazer
Parque de Diversoes,15.37,Lazer
Academia Bio Ritmo,610.38,Saude
Farmacia Extrafarma,175.27,Saude
Supermercado Extra,69.92,Alimentacao
Cinema Ingresso Show,15.69,Lazer
Farmacia Droga Raia,123.19,Saude
Conserto de Eletronicos,25.09,Servicos
Curso de Ingles CNA,68.36,Educacao
Supermercado Carrefour,29.87,Alimentacao
Metro Bilhete Unico,56.98,Transporte
Lanchonete do Povo,43.45,Alimentacao
Passeio Parque Aquatico,13.39,Lazer
Hospital Sao Marcos,247.76,Saude
Aluguel Apartamento Centro,382.31,Moradia
Buffet de Eventos Tematico,31.51,Lazer
Buffet de Eventos Tematico,49.21,Lazer
Curso Preparatorio Vestibular,246.55,Educacao
Streaming Spotify Premium,5.59,Lazer
Hortifruti Verde Vida,51.64,Alimentacao
iFood Delivery,59.69,Alimentacao
Pet Shop Bicho Feliz,78.46,Servicos
Papelaria Kalunga,144.24,Educacao
Supermercado Pao de Acucar,34.53,Alimentacao
Farmacia Droga Raia,193.52,Saude
Pet Shop Amigo Fiel,18.83,Servicos
Estacionamento Zona Azul,19.2,Transporte
Feira Livre do Bairro,28.49,Alimentacao
Mensalidade Faculdade Unip,163.11,Educacao
Salao de Beleza Charme,19.06,Servicos
Mensalidade Faculdade Unip,72.67,Educacao
Mercadinho Bom Preco,104.71,Alimentacao
Energia CPFL,382.2,Moradia
Streaming Deezer,31.2,Lazer
Hospital Sao Marcos,95.81,Saude
Supermercado Pao de Acucar,60.73,Alimentacao
Barbearia Moderna,12.11,Servicos
Supermercado Assai,55.76,Alimentacao
Mercado Sao Luiz,107.5,Alimentacao
Hortifruti Verde Vida,25.83,Alimentacao
Mensalidade Escola Positivo,90.73,Educacao
Buffet de Eventos Tematico,14.43,Lazer
Cinema Cinemark,57.38,Lazer
Internet Vivo Fibra,365.08,Moradia
Plano de Saude Unimed,103.54,Saude
Material de Construcao Casa Show,474.7,Moradia
Material de Construcao Casa Show,403.5,Moradia
iFood Delivery,43.08,Alimentacao
Manicure a Domicilio,11.47,Servicos
Laboratorio Exame Hermes Pardini,529.52,Saude
Condominio Edificio Central,455.15,Moradia
Papelaria Nobre,147.08,Educacao
Onibus Metropolitano,33.01,Transporte
Assistencia Tecnica Celular,27.33,Servicos
Supermercado Pao de Acucar,72.02,Alimentacao
Conserto de Eletronicos,26.27,Servicos
Farmacia Nissei,171.06,Saude
Streaming Disney Plus,94.9,Lazer
Bar do Amigo,36.9,Lazer
Energia Cemig,247.71,Moradia
Aplicativo 99,41.27,Transporte
Supermercado Carrefour,22.92,Alimentacao
Curso Online Coursera,205.9,Educacao
Conserto de Eletronicos,100.11,Servicos
Curso de Ingles Fisk,160.93,Educacao
Internet Tim Live,163.52,Moradia
Mensalidade Escola Positivo,67.64,Educacao
Energia Light,178.12,Moradia
Costureira do Bairro,35.47,Servicos
Energia Light,395.82,Moradia
Cinema Cinemark,10.96,Lazer
Farmacia Droga Raia,151.98,Saude
Farmacia Drogasil,108.34,Saude
Remedio Farmacia,105.04,Saude
Curso Online Coursera,161.22,Educacao
Farmacia Extrafarma,123.51,Saude
Academia Bio Ritmo,228.08,Saude
Posto Ale,29.03,Transporte
Aplicativo 99,68.34,Transporte
Streaming Disney Plus,10.36,Lazer
Posto Ipiranga,69.32,Transporte
Pet Shop Bicho Feliz,13.0,Servicos
Plano Odontologico OdontoPrev,188.44,Saude
Material de Construcao Casa Show,172.1,Moradia
Internet Tim Live,240.67,Moradia
Curso de Ingles Fisk,222.98,Educacao
Remedio Farmacia,51.68,Saude
Mensalidade Escola Bilingue,105.67,Educacao
Lava Rapido Total,39.34,Transporte
Plano de Saude Unimed,212.03,Saude
Oficina Mecanica Rapida,18.05,Transporte
Internet Tim Live,429.4,Moradia
Supermercado Carrefour,60.39,Alimentacao
Restaurante Prato Feito,33.21,Alimentacao
Pet Shop Amigo Fiel,61.28,Servicos
Livraria Saraiva,97.44,Educacao
Pet Shop Bicho Feliz,39.14,Servicos
Farmacia Droga Raia,100.89,Saude
Material Escolar Didatico,80.09,Educacao
Cinema Cinemark,22.12,Lazer
Conta de Luz,147.29,Moradia
Aluguel Residencial Imovel,476.89,Moradia
Farmacia Nissei,90.62,Saude
Streaming Netflix,25.24,Lazer
Farmacia Extrafarma,66.92,Saude
Barbearia Moderna,10.64,Servicos
Pet Shop Bicho Feliz,21.69,Servicos
Streaming Netflix,15.71,Lazer
Chaveiro 24 Horas,55.09,Servicos
Passeio Parque Aquatico,29.0,Lazer
Padaria Sao Jose,29.68,Alimentacao
Lavanderia Rapida,21.9,Servicos
Costureira do Bairro,62.03,Servicos
Passeio Parque Aquatico,32.01,Lazer
Streaming Disney Plus,21.8,Lazer
Padaria Doce Vida,46.28,Alimentacao
Plano Odontologico Amil Dental,286.24,Saude
Auto Pecas Center,51.79,Transporte
Curso de Ingles Fisk,103.77,Educacao
Curso Tecnico Senai,90.22,Educacao
Energia Light,162.95,Moradia
Papelaria Escolar Center,225.21,Educacao
Plano de Saude Unimed,256.99,Saude
Combustivel Etanol,37.79,Transporte
Mensalidade Escola Positivo,90.56,Educacao
Aplicativo InDrive,138.21,Transporte
Onibus Metropolitano,48.75,Transporte
